Wine Name,Place of Origin,Temperature of Preservation,Wine Age,Consumption
Chateau Margaux,"Bordeaux, France",24,130,127
Romanée-Conti,"Burgundy, France",21,35,152
Lafite Rothschild,"Bordeaux, France",10,76,74
Pétrus,"Pomerol, France",16,96,85
Screaming Eagle,"Napa Valley, California",16,50,38
Harlan Estate,"Napa Valley, California",12,62,70
Sine Qua Non,"Central Coast, California",24,163,158
Marcassin,"Sonoma Coast, California",22,167,134
Ridge Monte Bello,"Santa Cruz Mountains, California",23,268,10
Opus One,"Napa Valley, California",14,97,36
Cheval Blanc,"Saint-Émilion, France",24,156,103
Yquem,"Sauternes, France",19,282,132
Vega Sicilia,"Ribera del Duero, Spain",10,300,59
Sassicaia,"Bolgheri, Italy",17,147,95
Amarone della Valpolicella,"Veneto, Italy",24,10,182
Barolo,"Piedmont, Italy",21,88,120
Brunello di Montalcino,"Tuscany, Italy",20,300,126
Grange,"Barossa Valley, Australia",12,150,19
Henschke Hill of Grace,"Barossa Valley, Australia",19,125,125
Penfolds Grange,"Barossa Valley, Australia",21,146,32
d'Yquem,"Sauternes, France",20,64,199
Trockenbeerenauslese,Austria,20,188,138
Tokaji Aszú,Hungary,12,208,25
Madeira,Portugal,22,102,124
Marsala,Italy,22,297,113
Sherry,Spain,13,129,79
Port,Portugal,18,271,72
Sula ,India,12,107,106
Fattoria dei Barbi Brunello di Montalcino Riserva+,"Bordeaux, France",18,232,148
HdV Chardonnay Napa Valley Hyde Vineyard+,"Burgundy, France",25,240,108
Château Talbot St.-Julien+,"Bordeaux, France",15,18,30
Antinori Toscana Tignanello+,"Pomerol, France",20,137,39
Robert Mondavi Cabernet Sauvignon Oakville The Estates+,"Napa Valley, California",21,140,120
Château de Beaucastel Châteauneuf-du-Pape+,"Napa Valley, California",23,289,136
Fattoria Le Pupille Toscana Saffredi+,"Central Coast, California",10,42,199
Quilceda Creek Cabernet Sauvignon Columbia Valley+,"Sonoma Coast, California",11,260,98
Louis Roederer Brut Champagne Cristal+,"Santa Cruz Mountains, California",18,245,158
Château Beau-Séjour Bécot St.-Emilion+,"Napa Valley, California",14,257,34
Grattamacco Bolgheri Superiore+,"Saint-Émilion, France",25,274,21
Greywacke Sauvignon Blanc Marlborough+,"Sauternes, France",11,229,134
Philip Togni Cabernet Sauvignon Napa Valley+,"Ribera del Duero, Spain",25,152,104
Drouhin Oregon Roserock Chardonnay Eola-Amity Hills+,"Bolgheri, Italy",10,149,42
McPrice Myers Beautiful Earth Paso Robles+,"Veneto, Italy",16,155,105
Bodegas Caro Malbec-Cabernet Sauvignon Mendoza Amancaya+,"Piedmont, Italy",24,126,55
Giant Steps Pinot Noir Yarra Valley+,"Tuscany, Italy",17,225,150
Schramsberg Brut Blanc de Blancs North Coast+,"Barossa Valley, Australia",15,236,49
Burn Cottage Pinot Noir Central Otago Burn Cottage Vineyard+,"Barossa Valley, Australia",21,245,112
Viña Montes Syrah Colchagua Valley Alpha+,"Barossa Valley, Australia",12,217,39
Capraia Chianti Classico Riserva+,"Sauternes, France",17,237,74
